epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
20,0.05230148881673813,0.0005,0.1788555234670639,0.05230148881673813,0.024748535826802254,0.11989167332649231,0.024748535826802254
21,0.054421111941337585,0.0005,0.1830720752477646,0.054421111941337585,0.02578059211373329,0.12302132695913315,0.02578059211373329
22,0.05354153737425804,0.0005,0.18110916018486023,0.05354153737425804,0.02538660541176796,0.12201299518346786,0.02538660541176796
23,0.05066344514489174,0.0005,0.1746363341808319,0.05066344514489174,0.0232276301831007,0.11687084287405014,0.0232276301831007
24,0.047416381537914276,0.0005,0.171213299036026,0.047416381537914276,0.023645997047424316,0.11786119639873505,0.023645997047424316
25,0.05268936976790428,0.0005,0.1797104924917221,0.05268936976790428,0.02487609162926674,0.12125716358423233,0.02487609162926674
26,0.04571276530623436,0.0005,0.16695615649223328,0.04571276530623436,0.024610908702015877,0.1211346909403801,0.024610908702015877
27,0.04551678150892258,0.0005,0.16779391467571259,0.04551678150892258,0.0231314729899168,0.1140301525592804,0.0231314729899168
28,0.04854382947087288,0.0005,0.1708184778690338,0.04854382947087288,0.02397151291370392,0.1169896125793457,0.02397151291370392
29,0.044176336377859116,0.00025,0.16286802291870117,0.044176336377859116,0.02267151139676571,0.11416970938444138,0.02267151139676571
30,0.04850943014025688,0.00025,0.17444449663162231,0.04850943014025688,0.021794190630316734,0.11127765476703644,0.021794190630316734
31,0.046164873987436295,0.00025,0.1665397584438324,0.046164873987436295,0.02228260599076748,0.11320614814758301,0.02228260599076748
32,0.04533728212118149,0.00025,0.167286217212677,0.04533728212118149,0.022412283346056938,0.11353553831577301,0.022412283346056938
33,0.04643413797020912,0.00025,0.16733966767787933,0.04643413797020912,0.02244146354496479,0.11379694938659668,0.02244146354496479
34,0.04631618782877922,0.00025,0.1676519513130188,0.04631618782877922,0.022104723379015923,0.11177196353673935,0.022104723379015923
35,0.04618208855390549,0.00025,0.16733384132385254,0.04618208855390549,0.022063400596380234,0.11154625564813614,0.022063400596380234
36,0.042836692184209824,0.000125,0.16325947642326355,0.042836692184209824,0.022339463233947754,0.11255814880132675,0.022339463233947754
37,0.046507835388183594,0.000125,0.1673426777124405,0.046507835388183594,0.022507166489958763,0.11363478004932404,0.022507166489958763
38,0.04370447248220444,0.000125,0.16279563307762146,0.04370447248220444,0.021796470507979393,0.11079475283622742,0.021796470507979393
39,0.04822392761707306,0.000125,0.1723756194114685,0.04822392761707306,0.02179211936891079,0.11132774502038956,0.02179211936891079
40,0.04304199665784836,0.000125,0.16094239056110382,0.04304199665784836,0.021715819835662842,0.11101505905389786,0.021715819835662842
41,0.04614224284887314,6.25e-05,0.16632874310016632,0.04614224284887314,0.02220691367983818,0.11265838891267776,0.02220691367983818
42,0.04328027740120888,6.25e-05,0.1637425571680069,0.04328027740120888,0.02185109443962574,0.11157514899969101,0.02185109443962574
43,0.04267548397183418,6.25e-05,0.16117843985557556,0.04267548397183418,0.021432334557175636,0.10996787250041962,0.021432334557175636
44,0.04416542500257492,6.25e-05,0.16191063821315765,0.04416542500257492,0.02107059955596924,0.10868853330612183,0.02107059955596924
45,0.04525979980826378,6.25e-05,0.16599039733409882,0.04525979980826378,0.021123409271240234,0.10885325074195862,0.021123409271240234
46,0.0453965961933136,6.25e-05,0.16430748999118805,0.0453965961933136,0.021072696894407272,0.10889766365289688,0.021072696894407272
47,0.04418008029460907,6.25e-05,0.16161713004112244,0.04418008029460907,0.0215461328625679,0.11061862111091614,0.0215461328625679
48,0.04460010305047035,6.25e-05,0.16550983488559723,0.04460010305047035,0.02097834274172783,0.1086895540356636,0.02097834274172783
49,0.04467959702014923,6.25e-05,0.16231437027454376,0.04467959702014923,0.021048834547400475,0.10869909077882767,0.021048834547400475
